Country,Population,Life_Exp_M,Life_Exp_F,Life_Exp,Healthy_Life_Exp,Maternal_mortality,Under_5_Mortality,Neonatal_mortality,Alcohol_Consumption,Family_Planning,Teen_birthrate,Tobacco_M,Tobacco_F,Health,Stunting,Wasting,Overweight,Drinking_Water,Sanitation,Death_ND,Death_Conflicts
Tajikistan,8 482,66.6,73.6,69.7,62.1,32,44.8,20.5,2.4,50.8,54.0,,,94,26.8,9.9,6.6,74,95,0,0.1
Thailand,67 959,71.9,78.0,74.9,66.8,20,12.3,6.7,8.3,89.2,60.0,41.4,2.3,98,16.3,6.7,10.9,98,93,0.3,0.7
The former Yugoslav Republic of Macedonia,2 078,73.5,77.8,75.7,67.5,8,5.5,3.5,5.7,22.3,18.7,,,86,4.9,1.8,12.4,99,91,0.0,0.3
Timor-Leste,1 185,66.6,70.1,68.3,60.7,215,52.6,22.3,1.2,38.3,50.0,,,71,50.2,11.0,1.5,72,41,0.0,0.0
Togo,7 305,58.6,61.1,59.9,52.8,368,78.4,26.7,1.9,32.2,85.0,,,74,27.5,6.7,2.0,63,12,0.0,0.0
Tonga,106.00,70.6,76.4,73.5,66.0,124,16.7,6.9,2.1,47.9,30.0,47.3,13.0,74,8.1,5.2,17.3,100,91,0.0,
Trinidad and Tobago,1 360,67.9,74.8,71.2,63.3,63,20.4,13.2,6.6,55.1,35.5,,,71,,,,95,92,0.0,0.0
Tunisia,11 254,73.0,77.8,75.3,66.7,62,14.0,8.2,1.2,73.2,6.7,,,65,10.1,2.8,14.3,98,92,0.0,0.3
Turkey,78 666,72.6,78.9,75.8,66.2,16,13.5,7.1,2.4,59.7,29.0,39.5,12.4,78,9.5,1.7,10.9,100,95,0.2,0.8
Turkmenistan,5 374,62.2,70.5,66.3,59.8,42,51.4,22.6,5.0,,21.0,,,84,18.9,7.2,4.5,,,0.0,0
Tuvalu,10.00,,,,,,27.1,17.6,1.3,41.0,42.0,,,89,10.0,3.3,6.3,98,,,
Uganda,39 032,60.3,64.3,62.3,54.0,343,54.6,18.7,10.5,44.7,140.0,16.4,2.9,73,34.2,4.3,5.8,79,19,0,1.9
Ukraine,44 824,66.3,76.1,71.3,64.1,24,9.0,5.5,11.8,68.0,27.2,49.4,14.0,99,,,,96,96,0,6.2
United Arab Emirates,9 157,76.4,78.6,77.1,67.9,6,6.8,3.5,4.3,,34.2,,,97,,,,100,98,0.0,0
United Kingdom,64 716,79.4,83.0,81.2,71.4,9,4.2,2.4,12.0,,19.3,19.9,18.4,,,,,100,99,0,0
United Republic of Tanzania,53 470,59.9,63.8,61.8,54.1,398,48.7,18.8,8.1,45.9,72.1,27.5,3.8,67,34.7,3.8,5.2,56,16,0,0
United States of America,321 774,76.9,81.6,79.3,69.1,14,6.5,3.6,9.0,83.4,26.6,19.5,15.0,91,2.1,0.5,6.0,99,100,0,0
Uruguay,3 432,73.3,80.4,77.0,67.9,15,10.1,5.1,7.0,,63.5,26.7,19.4,84,10.7,1.3,7.2,100,96,0.0,0.0
Uzbekistan,29 893,66.1,72.7,69.4,62.4,36,39.1,20.4,4.8,,29.5,24.9,1.3,83,19.6,4.5,12.8,,100,0,0.0
Vanuatu,265.00,70.1,74.0,72.0,64.6,78,27.5,11.6,1.2,50.7,78.0,,,43,28.5,4.4,4.6,95,58,0.9,
Venezuela (Bolivarian Republic of),31 108,70.0,78.5,74.1,65.2,95,14.9,8.9,8.3,,94.5,,,95,13.4,4.1,6.4,93,94,0,0
Viet Nam,93 448,71.3,80.7,76.0,66.6,54,21.7,11.4,8.7,69.7,36.0,47.1,1.3,99,19.4,5.7,4.6,98,78,0.1,0.0
Yemen,26 832,64.3,67.2,65.7,57.7,385,41.9,22.1,0.2,47.0,67.0,,,46,46.8,16.2,2.5,,,0,14.3
Zambia,16 212,59.0,64.7,61.8,53.6,224,64.0,21.4,4.0,63.8,145.0,26.5,4.6,92,40.0,6.3,6.2,65,44,0.0,0.0
Zimbabwe,15 603,59.0,62.3,60.7,52.3,443,70.7,23.5,4.8,86.0,120.0,31.2,2.1,68,27.6,3.3,3.6,77,37,0.2,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
